id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;;;;;;;;;;;
22;nzz_1994_08_29_a39_seg4_s5_hit1;Doch dieses « Ventil » wurde der Gruppenleitung in einer den Genossenschaftern ohne konkretes Konzept vorgelegten Konsultativabstimmung 1981 verweigert . ;vorgelegt;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
23;nzz_1997_10_28_a154_seg3_s10_hit1;Der Aussenseiter aus Colorado , der vor den Play-offs sechs der letzten sieben Spiele verloren hatte und dann beinahe sensationell ohne Niederlage ins Endspiel gekommen war , gab sich alle Mühe , mutig mitzuspielen , doch am Ende machte sich die fehlende fussballerische Klasse bemerkbar . ;kommen;niederlage;;done;yes;yes;rein;frei;;;;;;;;;;;
24;nzz_1997_10_20_a102_seg9_s5_hit1;Weil fast alles ohne wirkliches Konzept zusammengeliehen ist , bleiben die Ensembles von Modigliani bis Damien Hirst additiv . ;sein;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
25;nzz_1997_09_04_a174_seg2_s8_hit1;Wenn nun die schottischen Nationalspieler dem Beispiel von Torhüter Goram und der beiden Stürmer McCoist und Durie folgen , steht Schottland am Samstag in Aberdeen ohne Mannschaft da . ;stehen;mannschaft;;done;yes;yes;rein;notwendig;;;;;;;;;;;
26;nzz_1997_10_11_a183_seg4_s5_hit1;Kaum einer der zwölf Schweizer WM-Teilnehmer ist daher ohne Erfolgserlebnis nach San Sebastián gereist . ;reisen;erfolgserlebnis;;done;yes;yes;rein;frei;;;;;;;;;;;
27;nzz_1997_03_24_a122_seg5_s4_hit1;Dass sich ein Pferd ab und zu verweigert , sich vor einem Hindernis buchstäblich auf die Hinterbeine stellt , die Nüstern bläht , die Lippen schürzt , die Zähne ohne eine Spur von Lachen zeigt und in der verrauchten , weinseligen Halle mit einem lauten Schnauben darauf aufmerksam macht , dass auch es eine Lunge hat und als Spitzensportler ein Recht auf idealere Wettkampfbedingungen hätte , ist ihm nicht zu verargen . ;zeigen;spur;;done;yes;yes;rein;frei;;;;;;;;;;;
28;nzz_1997_08_25_a39_seg8_s9_hit1;Aber den ausländischen Kritikern fehle der Sinn fürs Mass : « Dieses Land ist nämlich seit 1848 ohne einen einzigen Tag Unterbruch ein föderalistischer , republikanischer und demokratischer Rechtsstaat gewesen und geblieben . ;sein;tag;prozessbezogene Frequenz;not_of_interest;;;;;;;;;;;;;;;
29;nzz_1997_03_06_a135_seg8_s4_hit1;Im Unterschied zu Peter Glotz lässt sie Belangloses beiseite , konzentriert sich auf Wesentliches , ohne die geringste Spur von Dünkel . ;konzentrieren;spur;;done;yes;yes;rein;frei;;;;;;;;;;;
30;nzz_1995_04_08_a43_seg15_s1_hit1;Bei einer Frage strahlt der Schulkommandant ohne Vorbehalt : bei der Erkundigung nach seinen weiblichen Untergebenen . ;strahlen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
31;nzz_1995_04_27_a140_seg4_s2_hit1;Der mit einem Fünfjahresbudget von fünf Millionen Franken ausgestatteten Organisation wird vorgeworfen , sie agiere ohne klares Konzept , habe keine eigenständigen Ideen und bewege sich mit ihren Aktivitäten im « luftleeren Raum » . ;agieren;konzept;;done;yes;yes;methode;möglich;;;;;;;;;;;
