Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
91;VVINF;ADV;kommen;13;NZZ_1995_09_08_a75_seg5_s3;12;Full|-2;Nach all den Prognoserevisionen der letzten Zeit konnte es eigentlich nicht anders kommen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
96;VVFIN;ADV;kommen;3;NZZ_1999_10_22_a30_seg5_s1;4;Full|3|Sg|Past|Ind;Doch es kam anders .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
100;VVFIN;ADV;kommen;2;NZZ_1999_03_22_a188_seg11_s10;4;Full|3|Sg|Past|Ind;Es kam aber anders : Am 9. Mai mussten OKW und Führungsstab vor den Vertretern der alliierten Mächte in Berlin Karlshorst die bedingungslose Kapitulation unterzeichnen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
101;VVFIN;ADV;kommen;2;NZZ_1999_03_23_a47_seg7_s7;4;Full|3|Sg|Past|Ind;Manchmal kam es anders .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
111;VMINF;ADV;kommen;59;NZZ_1999_11_20_a148_seg9_s25;56;Mod|-2;Die Berufung auf historische Notwendigkeiten oder ein schicksalhaftes Verhängnis ist ihm fremd, und dieser Zurückhaltung entspringt am Ende das eigentliche Geschenk, das Peter Gay den Deutschen heute machen kann : Als Historiker, der Fakten und Details mehr schätzt als grosse Entwürfe, gesteht er den Deutschen zu, dass es « auch anders hätte kommen können » .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
24;VMFIN;ADV;können;5;NZZ_1998_03_12_a48_seg9_s10;7;Mod|3|Sg|Past|Subj;Zentrales Thema, wie könnte es anders sein : die « Frauenfrage » .;nd;nd;not of interest;"prädikativ; wrong head";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
31;VMFIN;ADV;können;3;NZZ_1998_07_25_a230_seg15_s20;2;Mod|3|Sg|Past|Subj;Wie anders könnte man den Bombenanschlag auf den heiligen Zahntempel in Kandy im Februar dieses Jahres erklären ? »;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VMFIN;ADV;können;49;NZZ_1999_02_09_a169_seg8_s12;51;Mod|3|Sg|Past|Subj;"Eine Rarität auf dieser Messe ist auch ein vergoldetes Trinkgefäss in Form eines Storchs beim Zürcher Silberspezialisten Payer : Das originelle Gefäss stammt aus Danzig ( 1616-1620 ) und ist mit der Meistermarke Daniel Wirtwein versehen ; im Schnabel trägt der 200 000 Franken teure Storch - wie könnte es anders sein - ein Wickelkind .";nd;nd;not of interest;"prädikativ; wrong head";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
58;VMFIN;ADV;können;7;NZZ_1999_11_06_a16_seg3_s2;9;Mod|3|Sg|Pres|Ind;Ministerpräsident António Guterres vom Partido Socialista kann - anders als beim Antritt seiner ersten Regierung vor vier Jahren - mit keiner neuen Schonfrist rechnen .;nd;nd;not of interest;"Vergleich; Parenthese";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
62;VMFIN;ADV;können;14;NZZ_1996_03_09_a81_seg3_s23;13;Mod|3|Sg|Pres|Ind;Hier hintanzustehen und unter Umständen zuzuwarten, bis man wirklich nicht mehr anders kann, wäre fatal .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
83;VMFIN;ADV;können;3;NZZ_1997_10_14_a200_seg7_s14;2;Mod|3|Sg|Past|Subj;Wie anders könnte man denn zeigen, dass und warum die Geschichte der Rechte ein mitreissendes Thema ist ?;nd;nd;done;Vergleich;frei;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
85;VMFIN;ADV;können;25;NZZ_1997_02_24_a24_seg7_s7;24;Mod|-2;Einiges deutet darauf hin, dass die von Peter Bodenmann selber ins Spiel gebrachten Nationalräte Francesco Cavalli und Andrea Hämmerle bald nicht mehr anders können, als ins Rennen zu steigen .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
99;VMFIN;ADV;können;17;NZZ_1997_01_17_a23_seg9_s5;11;Mod|3|Pl|Pres|Ind;Der mittelalterliche Inquisitor hätte auch nicht geglaubt, dass Straftäter anders als durch Folter überführt werden können .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
102;VMFIN;ADV;können;9;NZZ_1999_04_30_a290_seg5_s4;13;Mod|1|Pl|Pres|Ind;Aber wenn unsere Welt zur Fabel wurde, können wir sie dann anders darstellen als eben mit Hilfe von Fabeln und Fiktionen ?;prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
114;VMFIN;ADV;können;5;NZZ_1995_05_31_a130_seg8_s1;7;Mod|1|Pl|Pres|Ind;ARD, 21.05 Wir können auch anders;nd;nd;not of interest;fest;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
170;VMFIN;ADV;können;20;NZZ_1996_05_30_a237_seg11_s14;31;Mod|3|Pl|Pres|Ind;Die beiden verwandten Sozialstaaten Österreich und Schweden haben den windungsreichen Pfad der Rückkehr zu gesünderen Staatsfinanzen eingeschlagen - sie können angesichts der verbindlichen Maastricht-Kriterien in der EU auch nicht gut anders .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
186;VMFIN;ADV;können;3;NZZ_1995_11_14_a101_seg5_s8;2;Mod|3|Pl|Past|Subj;Wie anders könnten die allgegenwärtigen Chagalls und Picassos um ein Vielfaches teurer sein als altmeisterliche Raritäten ?;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
198;VMFIN;ADV;können;7;NZZ_1993_04_06_a44_seg8_s2;3;Mod|3|Sg|Pres|Ind;« Wer anders als die Berufskollegen kann die Sache besser beurteilen », sagt er .;nd;nd;not of interest;ModNP;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
81;VVFIN;ADV;laufen;4;NZZ_1995_04_28_a157_seg10_s4;8;Full|3|Pl|Pres|Ind;Denn in Deutschland laufen die TV-Uhren immer anders - gewinnorientiert .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
119;VVFIN;ADV;lauten;55;NZZ_1997_07_25_a181_seg2_s1;54;Full|3|Sg|Pres|Ind;Müssen wir damit leben, dass in Programmen wie dem « Blickpunkt » des ORF 2 in einem Film ( « Hitlers Hehler - Nazigold auf Schweizer Banken » ) zwar deutlich gesagt wird, es sei nicht bewiesen, dass auch nur ein Gramm Zahngold hierherkam, dass aber der Vorspann ganz anders lautet ?;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
97;VVPP;ADV;lesen;14;NZZ_1995_10_10_a223_seg9_s25;13;Full|Psp;Müsste nicht plötzlich alles neu und - ganz in Foucaults Stil - anders gelesen werden ?;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVFIN;ADV;liegen;17;NZZ_1998_02_06_a62_seg1_s9;16;Full|3|Pl|Pres|Ind;Zugleich hat er damit jedoch den letzten Beweis dafür angetreten, dass seine Prioritäten irgendwo anders liegen .;nd;nd;not of interest;"ModADV; wrong head";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
124;VVFIN;ADV;liegen;8;NZZ_1999_04_21_a45_seg10_s8;7;Full|3|Sg|Pres|Ind;Dass die Auseinandersetzung auf dem Balkan anders liegt als seinerzeit ein möglicher Krieg zwischen den Blöcken, wird gelegentlich übersehen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
125;VVFIN;ADV;liegen;3;NZZ_1997_10_15_a169_seg13_s6;2;Full|3|Pl|Past|Ind;Ganz anders lagen die Verhältnisse auf dem nord-süd-orientierten amerikanischen Kontinent .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
126;VVFIN;ADV;liegen;3;NZZ_1999_08_13_a215_seg2_s10;2;Full|3|Pl|Pres|Ind;Völlig anders liegen die Verhältnisse beim Einbau einer Resistenz gegen Pilzkrankheiten .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADV;machen;7;NZZ_1995_11_11_a189_seg7_s4;3;Full|3|Sg|Pres|Ind;Oder noch anders : Ein Mann macht immer dieselbe Erfahrung und schreibt stets dieselbe Geschichte, nur gibt er seine alte Erfahrung für eine neue Geschichte aus .;nd;nd;not of interest;unvollständiger Satz;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVINF;ADV;machen;20;NZZ_1996_10_17_a151_seg3_s9;19;Full|-2;Er räumte ein, dass nicht immer alles optimal vertraglich geregelt worden sei, und er heute vieles anders machen würde ( beispielsweise den Entsorgungsauftrag und den Entwicklungsauftrag in getrennten Verträgen regeln ) .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
