;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
14;VVINF;ADJD;halten;6;NZZ_1995_08_23_a162_seg7_s6;4;Full|-2;Um seine Dichte konstant zu halten , muss der Zodiakalring ständig mit etwa 10 Tonnen Staub pro Sekunde versorgt werden , denn die Verluste zur Sonne hin sind rund 10 000mal grösser als der auf die Erde niedergehende Teil .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVFIN;ADJD;lassen;21;NZZ_1999_07_05_a24_seg3_s14;18;Full|3|Sg|Pres|Ind;Er erwartet von der SVP , dass sie nicht länger systematisch Opposition betreibt und ihren Bundesrat nicht konstant im Stich lässt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVPP;ADJD;halten;17;NZZ_1997_04_09_a193_seg3_s19;16;Full|Psp;Eine optimale Weinqualität kann also nur erreicht werden , wenn die Temperatur während des Gärprozesses konstant gehalten wird .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVPP;ADJD;halten;26;NZZ_1999_01_11_a108_seg9_s14;25;Full|Psp;Runde und eckige Formen sind so ineinander verzahnt , dass sich eine puzzleartige Flächengliederung ergibt , und da die Farbintensität über die ganze Fläche konstant gehalten ist , scheint das Bild weder ein klares Vorne und Hinten noch ein klares Oben und Unten mehr zu besitzen .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
18;VVPP;ADJD;halten;17;NZZ_1995_04_11_a154_seg8_s9;16;Full|Psp;Die einmal erreichte Betriebstemperatur wird je nach Belastung durch Heizen oder Kühlen über einen Ölkreislauf konstant gehalten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
19;VVFIN;ADJD;pendeln;6;NZZ_1993_02_24_a203_seg5_s6;10;Full|3|Sg|Pres|Ind;Der Anteil der entdeckten Fälschungen pendelt dabei seit Jahren konstant zwischen 25 und 35 Prozent der untersuchten Ausweise .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVINF;ADJD;halten;10;NZZ_1996_10_16_a180_seg5_s6;8;Full|-2;Der Körper versucht , die Salzkonzentration möglichst konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
21;VVPP;ADJD;eingereichen|einreichen;13;NZZ_1998_03_26_a174_seg3_s3;4;Full|Psp;Seit Jahren werden konstant etwa fünf Scheidungs- und Trennungsklagen pro 1000 Einwohner eingereicht .;extern;frequenziellEXT;done;;frei;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd
22;VVPP;ADJD;halten;26;NZZ_1994_10_29_a204_seg16_s4;25;Full|Psp;Demokratie kann sich auch indirekt auf das Wachstum auswirken , und zwar durch Einfluss auf einige jener Variablen , die in der statistischen Analyse konstant gehalten werden .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
23;VVFIN;ADJD;flüchten;16;NZZ_1999_02_05_a153_seg3_s21;17;Full|3|Pl|Pres|Ind;Kurz : Hugos Stück ist unaufführbar , Eric Vigners Inszenierung eine Zumutung ( die Zuschauer flüchten konstant , drei Stunden lang , aus dem Théâtre de la Ville ) .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
24;VVPP;ADJD;auspfeifen;28;NZZ_1995_10_02_a124_seg3_s14;27;Full|Psp;In der vergangenen Saison war Cantona in Liverpool des Feldes verwiesen worden , nachdem ihn Liverpools Libero Neil Ruddock , der dafür vom Publikum im Old-Trafford-Stadion konstant ausgepfiffen wurde , provoziert hatte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
25;VVPP;ADJD;verringern;21;NZZ_1994_08_08_a89_seg3_s7;20;Full|Psp;"Gemessen an der Gesamtzahl der Ausländerinnen und Ausländer hat sich der Anteil der Saisonniers in den letzten drei Jahren konstant verringert ; 1991 betrug er noch 4 Prozent , im Juni dieses Jahres waren es noch 9 Prozent .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
26;VVFIN;ADJD;gewinnen;4;NZZ_1995_06_02_a70_seg7_s2;11;Full|3|Sg|Pres|Ind;"Seit einem Monat gewinnt der Rubel gegenüber dem Dollar ziemlich konstant an Wert ; gegenwärtig steht die russische Währung bei 4958 je 1 $";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VVPP;ADJD;halten;5;NZZ_1994_10_29_a54_seg6_s7;4;Full|Psp;Da die Kosten konstant gehalten werden konnten ( deutlich tiefere Treibstoffkosten halfen ) , verwandelte sich das Betriebsergebnis von einem Verlust von 4 Mrd. Yen im Vorjahr in einen Gewinn von 1 Mrd. Yen .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
28;VVPP;ADJD;halten;3;NZZ_1994_12_08_a55_seg4_s4;2;Full|Psp;Ungefähr konstant gehalten hat man im Periodenvergleich dagegen den Provisionsüberschuss , da den verminderten Wertpapierprovisionen beispielsweise Mehrerträge aus der Vermögensverwaltung gegenüberstanden .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
29;VVINF;ADJD;halten;26;NZZ_1995_07_14_a80_seg6_s6;24;Full|-2;Die Grossunternehmen aus Grossbritannien , den Beneluxstaaten , Skandinavien und Italien war es hingegen gelungen , die Arbeitskosten in Relation zu den Umsätzen konstant zu halten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
30;VVFIN;ADJD;liegen;13;NZZ_1995_10_02_a9_seg10_s2;18;Full|3|Pl|Pres|Ind;Nicht erst seit Juli ( und nicht erst in dieser Regierung ) liegen Parlament und Exekutive sich konstant in den Haaren .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
31;VVPP;ADJD;steigern;40;NZZ_1996_05_30_a208_seg6_s3;39;Full|Psp;Der 29jährige Bremer mit Wohnsitz in Hamburg könnte damit den Grundstein zu einer neuerlichen Verbesserung in der Verdienstliste gelegt haben , in der er sich seit dem Eintritt in das Golf-Berufsleben im Jahr 1990 ( Rang 179 ) konstant gesteigert hat ( 1995 : 32 . );prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
32;VVPP;ADJD;anführen;22;NZZ_1995_08_11_a58_seg3_s3;17;Full|Psp;Philip hält seit Jahren standhaft seine Position am unteren Ende der königlichen Beliebtheitsskala , die ebenso konstant von der Königinmutter Elisabeth angeführt wird .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VVFIN;ADJD;ergeben;48;NZZ_1998_07_18_a70_seg3_s5;28;Full|3|Sg|Pres|Ind;Die von der Pariser Behörde ausgewiesene « underlying inflation » , welche die häufig starken saisonalen Schwankungen ausgesetzten Lebensmittel- und Energiepreise ausser Betracht lässt , blieb ihrerseits konstant auf 3% , so dass sich im Jahresvergleich für den Berichtsmonat eine jährliche « underlying inflation » von 1% ergibt .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
34;VAFIN;ADJD;haben;2;NZZ_1997_09_08_a147_seg3_s11;4;Haben|3|Sg|Past|Ind;Er hatte vorher konstant , aber nur im Bereich zwischen 68 und par gespielt ( Rang 12 ) .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
35;VVINF;ADJD;wachsen;21;NZZ_1996_02_15_a84_seg9_s10;16;Full|-2;Unter der Annahme , dass das BIP in Mittel- und Osteuropa in den nächsten Jahren konstant um 2 Prozentpunkte schneller wachsen wird als in der EU , würde das slowenische BIP pro Kopf im Jahr 2000 erst 70% und 2010 94% des EU-Durchschnittes erreichen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
36;VVFIN;ADJD;wachsen;12;NZZ_1996_03_07_a233_seg4_s2;11;Full|3|Sg|Pres|Ind;Es gibt aber auch einen entscheidenden negativen Faktor , der konstant wächst und vielfach als Unfallursache belegt ist : der Aspekt « bewusstseinsverändernder ( psychoaktiver ) Substanzen » .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
37;VVFIN;ADJD;verlieren;4;NZZ_1999_08_16_a90_seg2_s1;8;Full|3|Sg|Pres|Ind;emy. Der Goldpreis verliert bekanntlich seit längerem konstant an Wert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
38;VVFIN;ADJD;halten;2;NZZ_1995_06_16_a163_seg3_s14;3;Full|3|Pl|Pres|Ind;Sie halten konstant das Tempo hoch , stellen damit entweder Fluchtgruppen oder verhindern solche .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
