Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
167;VVPP;ADJD;einzeichnen;11;NZZ_1998_10_29_a234_seg10_s6;5;Full|Psp;Obwohl auf der Karte grosszügig Taucher, Surfer und Wasserskifahrer eingezeichnet sind, dominieren meist Leere und Einsamkeit .;nd;nd;not of interest;;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
168;VVFIN;ADJD;bauen;7;NZZ_1998_07_28_a139_seg4_s2;9;Full|3|Sg|Pres|Ind;Blickt in die grossartige Landschaft und baut entsprechend grosszügig und klar . »;prozess;rein;done;unknown;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
169;VVFIN;ADJD;ausnehmen;25;;24;Full|3|Sg|Pres|Ind;, Zürich ) begründete diesen Antrag im wesentlichen damit, dass sich die vorgesehene Besoldung der Sozialversicherungsrichter im interkantonalen Vergleich immer noch sehr grosszügig ausnimmt und dass Oberrichter kompliziertere Rechtsfälle zu beurteilen haben .;prozess;agensorientiert;done;inanim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
170;VVPP;ADJD;behandeln;21;NZZ_1998_09_23_a53_seg32_s12;20;Full|Psp;Die Schweiz konnte sich formell zum vorliegenden Eurek-Entwurf äussern, während sie in andern Gebieten von der EU weniger grosszügig behandelt wird .;prozess;agensorientiert;done;unknown;;notwendig;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
171;VVPP;ADJD;verrechnen;6;NZZ_1994_06_24_a109_seg2_s9;5;Full|Psp;Ausserdem werden die Spesen grosszügig verrechnet .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
172;VVINF;ADJD;verlauten;8;NZZ_1997_04_11_a21_seg1_s5;7;Full|-2;Wenn Teheran durch seinen Aussenminister nun grosszügig verlauten lässt, die Deutschen in Iran hätten nichts zu befürchten, dann mag das nach dem Zittern der Bonner Amtsstellen in den letzten Wochen recht tröstlich sein .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
173;VVPP;ADJD;aufrunden;12;NZZ_1999_09_24_a84_seg4_s5;11;Full|Psp;Irgendwie und irgendwann kommt man doch an, dann wird grosszügig aufgerundet, weil das Kleingeld zuvor verteilt worden ist und das Ganze letztlich ja doch fast nichts kostet .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
174;VVINF;ADJD;anpassen;8;NZZ_1996_12_14_a77_seg6_s5;7;Full|-2;Die Nationalbank will aber ihr Geldangebot grosszügig anpassen, was zur Folge hat, dass auch 1997 das Wachstum des Aggregates über dem mittelfristigen Zielpfad von 1% liegen wird .;prozess;agensorientiert;done;anim_like;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
175;VVPP;ADJD;anlegen;33;NZZ_1995_11_06_a67_seg6_s3;32;Full|Psp;An Anregungen dazu hat es gewiss nicht gemangelt, zumal die Übungsanlage mit den drei Konferenzschwerpunkten « Emerging Markets », « Moderne Finanzinstrumente » und « Weltwirtschaftliche Perspektiven » enorm grosszügig angelegt war .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
176;VVPP;ADJD;erfüllen;8;NZZ_1994_11_10_a195_seg6_s12;7;Full|Psp;Kulinarische Wünsche werden à la carte grosszügig erfüllt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
