Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
51;VVINF;ADJD;fließen;8;NZZ_1997_03_22_a201_seg3_s16;7;Full|3|Pl|Pres|Ind;Jeder spielt, solange die Dollars fleissig fliessen und der Körper es zulässt .;prozess;rein;done;inanim;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VVINF;ADJD;drehen;14;NZZ_1998_06_27_a278_seg5_s6;12;Full|-2;Der Markt ist längst gesättigt, doch das Konsumrad soll sich fleissig weiter drehen .;prozess;rein;done;inanim;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVFIN;ADJD;suchen;34;NZZ_1993_04_03_a74_seg13_s10;36;Full|3|Pl|Past|Ind;Deshalb zogen August Reichensperger, Zentrumspolitiker und Neugotiker, und der Kulturhistoriker Janssen mit Pamphleten gegen Lübke zu Felde : Jeden kleinsten Fehler, der Lübke in seinem umfangreichen Schrifttum unterlaufen war, suchten sie fleissig auf, um ihn vor seinen Lesern blosszustellen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
54;VVPP;ADJD;werben;25;NZZ_1995_05_31_a129_seg3_s23;24;Full|Psp;Hinter den « Monster Wars » verbergen sich aufgemotzte Lastwagen, die sogenannten Monster-Trucks ( für deren Spielzeugableger auch im deutschsprachigen privaten Kinderfernsehen fleissig geworben wird ) .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
55;VVPP;ADJD;weiterschreiben;5;NZZ_1994_09_21_a121_seg3_s3;4;Full|Psp;"Seitdem hat er fleissig weitergeschrieben ; soeben ist sein Roman « Leviathan » auf deutsch erschienen .";prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
56;VVPP;ADJD;abbezahlen;6;NZZ_1998_04_28_a197_seg3_s4;4;Full|Psp;Im weiteren wurden fleissig Schulden abbezahlt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
57;VVPP;ADJD;verschicken;15;NZZ_1998_03_21_a185_seg3_s2;11;Full|Psp;Wird ein Ladengeschäft oder ein Restaurant eröffnet, so werden fleissig Einladungen und Communiqués verschickt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
58;VVINF;ADJD;kümmern;23;NZZ_1997_01_03_a141_seg3_s16;18;Full|-2;Kein Zweifel, dass da neben Traditionsbewusstsein auch der Wunsch mitspielt, sich auch im neuen Jahr fleissig um seine Allgemeinbildung zu kümmern .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
59;VVINF;ADJD;bleiben;23;NZZ_1994_08_27_a197_seg4_s16;18;Full|-2;"Eskapaden nach Venlo beiseite, haben die Gäste hier gar keine andere Wahl, als immer schön fleissig bei der Sache zu bleiben ; und Sache ist das Wort .";prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
60;VVFIN;ADJD;wirken;3;NZZ_1995_01_04_a151_seg3_s16;10;Full|3|Sg|Past|Ind;"Im FCZ wirkte Skoro wie stets in der Halle fleissig ; die positivste Erscheinung des Abends war jedoch Jürg Studer, der sich von seiner ernsten Verletzung erholt hat und sich dem Stadtklub für die Rückrunde als Verstärkung empfiehlt .";nd;nd;not of interest;;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
61;VVFIN;ADJD;putzen;20;NZZ_1998_07_21_a119_seg3_s11;35;Full|3|Sg|Past|Ind;Sollers zum Beispiel, der sein « symbolisches Kapital » einst als Maoist und ästhetisch-politischer Radikalavantgardist akkumuliert hatte, putzte im Januar 1995 als Kolumnist des « Express » dem bürgerlich-konservativen Präsidentschaftskandidaten Edouard Balladur fleissig die Stiefel .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
62;VVFIN;ADJD;bedienen;2;NZZ_1997_09_08_a97_seg3_s26;4;Full|3|Sg|Pres|Ind;Einerseits bedient er fleissig die Alltagsmetaphernschiene, wie sie die helvetische Klamaukkunst seit langem beherrscht ( der Hammer wird zum « Dumevermueser », nervöse Verdauungsstörungen sind mit « Kuttle, wo extrem eis abflattere » umschrieben ), andererseits setzt er voll auf die Überlegenheitslacher im Zusammenhang mit einem systematisch verdrehten Fremdwörtereinsatz : So begibt sich das « vegetarische Nervensystem » mit « weiblicher Institution » in « fremde Kontingente », zumindest aber in « meditierende Länder », wo für eine « standrechtliche Verkuppelung » die « Moden » aus dem « Konfrontationsanzug » geschüttelt werden .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
